track_name,artist_name,valence,energy
Find My Way / Finale,Laura Bell Bundy,0.299,0.356
Young Love (Strong Love),The Judds,0.291,0.32
Goodbye Time,Blake Shelton,0.175,0.331
Stupid Boy - The Voice Performance,Cassadee Pope,0.252,0.395
Today My World Slipped Away,George Strait,0.176,0.293
The Woman In Me (Needs The Man In You),Shania Twain,0.137,0.276
A Lot of Things Different,Kenny Chesney,0.212,0.279
Amanda,Waylon Jennings,0.175,0.24
If Heaven,Andy Griggs,0.256,0.365
It Matters to Me - Remastered Version,Faith Hill,0.135,0.399
Stardust,Willie Nelson,0.0993,0.267
Time of the Preacher,Willie Nelson,0.23,0.133
You Make It Look So Easy,Eric Church,0.255,0.277
Mary Go Round,Jamey Johnson,0.086,0.214
Too Busy Saying Goodbye,George Morgan,0.255,0.206
I Know She Still Loves Me,George Strait,0.162,0.275
Almost Goodbye,Mark Chesnutt,0.214,0.371
By The Time I Get To Phoenix - Remastered,Glen Campbell,0.232,0.336
Hymn #35,Joe Pug,0.225,0.252
The Magdalene Laundries - Live,Emmylou Harris,0.0977,0.267
Hide Me Babe,Garrett Hedlund,0.203,0.153
Tough,Craig Morgan,0.148,0.386
Turn Your Eyes Upon Jesus,Alan Jackson,0.256,0.182
Chiseled In Stone,Vern Gosdin,0.197,0.234
Last In Love - Pure Country/Soundtrack Version,George Strait,0.152,0.333
The Chill Of An Early Fall - Edit,George Strait,0.277,0.344
Beautiful Stranger,Toby Keith,0.103,0.383
Crazy - 1962,Willie Nelson,0.277,0.185
Honest To God,Devin Dawson,0.103,0.383
Song For You,Whiskey Myers,0.246,0.196
Smartwater,Summer Walker,0.139,0.29
Come Pick Me Up,Ryan Adams,0.216,0.262
Yours,Alina Baraz,0.185,0.363
Needs,ELHAE,0.225,0.331
Netflix & Dusse,Smino,0.18,0.331
I Am Not Alone - Live,Kari Jobe,0.197,0.319
Do u Need Love?,Francis and the Lights,0.213,0.301
Big God,Florence + The Machine,0.219,0.366
I Have This Hope,Tenth Avenue North,0.11,0.336
Cover Me Up,Jason Isbell,0.208,0.093
Closure,Trevor Daniel,0.22,0.387
Save Yourself,KALEO,0.111,0.338
Jukai,Jhene Aiko,0.152,0.37
Answer,Phantogram,0.107,0.371
Chloe Dancer/Crown Of Thorns,Mother Love Bone,0.267,0.362
Sometimes,Snoh Aalegra,0.178,0.284
Teenage Heartbreak,Yuna,0.228,0.38
High,Alina Baraz,0.259,0.294
Nude,Radiohead,0.156,0.342
In The Name Of Love - Recorded At Spotify Studios NYC,Kari Jobe,0.183,0.376
Lullaby,UMI,0.203,0.19
Don't Follow,Alice In Chains,0.28,0.37
Nana,The 1975,0.214,0.288
Wanna Know,Sabrina Claudio,0.149,0.34
Still Dreaming,Raveena,0.139,0.318
Hi-Lo (Hollow),Bishop Briggs,0.0871,0.328
Sativa - Recorded at Spotify Studios NYC,Jhene Aiko,0.221,0.184
You’re Worthy of It All,Shane & Shane,0.246,0.351
Pyramid Song,Radiohead,0.0686,0.335
Gotta Get Up - Interlude,Kali Uchis,0.217,0.381
Jerrod,Solange,0.218,0.253
River of Deceit,Mad Season,0.169,0.29
Just Let Go,Sturgill Simpson,0.25,0.274
"New York, I Love You but You're Bringing Me Down",LCD Soundsystem,0.0909,0.37
Running Up That Hill,Placebo,0.0839,0.356
Look On Down From The Bridge,Mazzy Star,0.0954,0.0772
Honest,The Neighbourhood,0.0635,0.37
No Police,Doja Cat,0.292,0.331
Monte Carlo (feat. WET),Toro y Moi,0.133,0.381
Revelation Song,Kari Jobe,0.0997,0.263
Yours,SG Lewis,0.211,0.241
"Black Hole Sun - Recorded Live At Red Robinson Show Theatre, Vancouver, Canada on April 30, 2011",Chris Cornell,0.179,0.385
Clair De Lune,Flight Facilities,0.0896,0.322
If I Had A Heart,Fever Ray,0.146,0.226
Nuh Time / Tek Time,dvsn,0.0686,0.281
Surrounded By Heads And Bodies,The 1975,0.185,0.284
Baby Mine,Arcade Fire,0.149,0.316
Word of God Speak,MercyMe,0.277,0.304
Murder in the City,The Avett Brothers,0.232,0.254
Remember,Jhene Aiko,0.219,0.339
The Humbling River,Puscifer,0.0342,0.326
Slow Cheetah,Red Hot Chili Peppers,0.244,0.344
The Package,A Perfect Circle,0.15,0.397
Sore Loser,Tierra Whack,0.235,0.294
Fragile,Eryn Allen Kane,0.227,0.317
Build Me Up From Bones,Sarah Jarosz,0.284,0.286
Easy Loving You (with Kamille),SG Lewis,0.213,0.387
"God, You’re So Good - Live",Passion,0.06,0.342
Stone,Born Without Bones,0.163,0.343
Happy,MARINA,0.0885,0.35
Spell,Raveena,0.15,0.367
O God Forgive Us,for KING & COUNTRY,0.214,0.225
While I Wait,Lincoln Brewster,0.12,0.399
HEAVEN ALL AROUND ME,Saba,0.0975,0.393
Somehow.,Phony Ppl,0.124,0.399
Wasted,Summer Walker,0.205,0.348
Divine / Sailing / Time / Hymn - Acoustic,Phil Wickham,0.253,0.324
Release,Pearl Jam,0.064,0.34
Colorblind,Counting Crows,0.0784,0.233
Feel (feat. Lianne La Havas),Jacob Collier,0.136,0.134
Vor í Vaglaskógi,KALEO,0.0756,0.345
Misunderstood,Lucky Daye,0.146,0.358
I Don't Know,Nick Hakim,0.116,0.313
